,Size,Model,Recommended Rider Height,A. Toptube Effective,B. Seat Tube Length,C. Headtube Angle,D. Seat Tube Angle,E. BB Drop,F. Chainstay Length,G. Headtube Length,H. Fork Length,J. Fork Offset,K. Wheelbase,M. Stack,N. Reach,P. Standover,R. BB Center-to-Center
0,SM,blackborow,168–175cm,580.0mm,457mm,69.0°,73.0°,60mm,650mm,110mm,483mm,51mm,1305.6mm,599.1mm,396.8mm,704.0mm,
1,MD,blackborow,175–183cm,610.0mm,457.0mm,69.0°,73.0°,60mm,650mm,120mm,483mm,51mm,1336.4mm,608.4mm,424.0mm,737.0mm,
2,LG,blackborow,183–190cm,640.0mm,508.0mm,69.0°,73.0°,60mm,650mm,130mm,483mm,51mm,1367.1mm,617.7mm,451.1mm,763.0mm,
0,50cm,journeyman,152cm–160cm,500mm,380.0mm,70.0°,75.5°,72.0mm,440mm,100mm,405mm,50mm,1017mm,528mm,364mm,666mm,
1,52cm,journeyman,157cm–165cm,520mm,450.0mm,70.5°,74.0°,72.0mm,440mm,115mm,405mm,50mm,1018mm,544mm,364mm,720mm,
2,54cm,journeyman,165cm–175cm,540mm,470.0mm,70.5°,73.0°,72.0mm,440mm,140mm,405mm,50mm,1029mm,567mm,367mm,742mm,
3,55.5cm,journeyman,173cm–183cm,555mm,510.0mm,70.5°,73.0°,72.0mm,440mm,170mm,405mm,50mm,1045mm,595mm,373mm,778mm,
4,57cm,journeyman,180cm–190cm,570mm,530.0mm,70.5°,73.0°,72.0mm,440mm,200mm,405mm,50mm,1061mm,624mm,379mm,801mm,
5,59.5cm,journeyman,188cm–UP,595mm,560.0mm,70.5°,72.5°,72.0mm,440mm,215mm,405mm,50mm,1081mm,639mm,394mm,823mm,
0,24,timberjack_kids,140–157cm,535mm,330mm,68.0°,73.0°,30mm,415mm,100mm,446mm,40mm,1032mm,525mm,375mm,593mm,
0,SM,deadwood,168–175cm,590.2mm,407mm,68.0°,73.4°,45mm,449mm,100mm,521mm,51mm,1137.9mm,605.6mm,410.2mm,739.5mm,
1,MD,deadwood,175–183cm,610.2mm,457mm,68.0°,73.4°,45mm,449mm,110mm,521mm,51mm,1158.9mm,614.9mm,427.4mm,761.1mm,
2,LG,deadwood,183–190cm,630.2mm,508mm,68.0°,73.4°,45mm,449mm,110mm,521mm,51mm,1178.9mm,614.9mm,447.4mm,783.3mm,
3,XL,deadwood,190cm–UP,650.2mm,559mm,68.0°,73.4°,45mm,449mm,120mm,521mm,51mm,1199.9mm,624.2mm,464.7mm,800.9mm,
0,Small,redpoint,168–175cm,606.9mm,407mm,66.9°,73.5°,15mm,430mm,120mm,539mm,44mm,1157.5mm,607.5mm,427.0mm,AL: 744.8mmC: 739.6mm,
1,Medium,redpoint,175–183cm,628.7mm,444.5mm,66.9°,73.5°,15mm,430mm,130mm,539mm,44mm,1180.5mm,616.7mm,446.0mm,AL: 744.1mmC: 739.8mm,
2,LG,redpoint,190cm–UP,649.4mm,483mm,66.9°,73.5°,15mm,430mm,140mm,539mm,44mm,1202.4mm,625.9mm,464.0mm,AL: 760.5mmC: 755.5mm,
3,XL,redpoint,190cm–UP,670.1mm,520mm,66.9°,73.5°,15mm,430mm,150mm,539mm,44mm,1224.3mm,635.1mm,482.0mm,AL: 785.9mm765.1mm,
0,Small,pony_rustler,165,590mm,407mm,68.1°,73.5°,36mm,437mm,100mm,530mm,51mm,1130mm,605.9mm,410.7mm,742.3mm,
1,Medium,pony_rustler,175,610mm,457mm,68.1°,73.5°,36mm,437mm,110mm,530mm,51mm,1151mm,614.5mm,428mm,756.6mm,
2,LG,pony_rustler,183–190cm,630mm,508mm,68.1°,73.5°,36mm,437mm,110mm,530mm,51mm,1171mm,614.5mm,448mm,778.7mm,
3,XL,pony_rustler,190cm–UP,650mm,534mm,68.1°,73.5°,36mm,437mm,120mm,530mm,51mm,1192mm,623.8mm,465.2mm,796.3mm,
0,50cm,marrakesh,147–158cm,500mm,440.0mm,69.5°,75.5°,77mm,455–472mm,90mm,415mm,55mm,1040.6–1057.6mm,539.5mm,360.5mm,704.2mm,
1,52cm,marrakesh,158–165cm,520mm,480.0mm,70.75°,74.5°,77mm,455–472mm,100mm,415mm,55mm,1039.6–1056.6mm,553.9mm,366.4mm,735.6mm,
2,54cm,marrakesh,165–173cm,540mm,520.0mm,70.75°,73.5°,77mm,455–472mm,110mm,415mm,55mm,1049.7–1066.7mm,563.3mm,373.1mm,761.2mm,
3,55cm,marrakesh,170–178cm,550mm,560.0mm,70.75°,73.0°,77mm,455–472mm,125mm,415mm,55mm,1054.9–1071.9mm,577.5mm,373.4mm,791.0mm,
4,57cm,marrakesh,175–185cm,570mm,590.0mm,70.75°,72.5°,77mm,455–472mm,150mm,415mm,55mm,1070.2–1087.2mm,601.1mm,380.5mm,817.4mm,
5,59.5cm,marrakesh,185–UP,595mm,620.0mm,70.75°,72.0°,77mm,455–472mm,175mm,415mm,55mm,1090.0–1107.0mm,624.7mm,392.0mm,843.5mm,
